Sample ID,Well (GSC use only),Template type,A. Template size (bases),B. Template stock conc. (ng/ul),C. PCR template: ng needed = ((A/100)*1.25)*2,D. PCR template: Volume=(C/B)ul,E. Plasmid template: volume= (200ng/B)*2,F. Volume PCR H20 needed (10-D or E),G. Volume primer needed 1ul per rxn,,,,,,,
HP-084,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-430_BIS,D4,Plate010,,,
HP-085,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-418,E4,Plate010,,,
HP-086,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-598,F4,Plate010,,,
HP-087,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-597,G4,Plate010,,,
HP-088,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-601,H4,Plate010,,,
HP-089,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-490,A5,Plate010,,,
HP-090,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-472,B5,Plate010,,,
HP-091,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-440,C5,Plate010,,,
HP-092,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-429,D5,Plate010,,,
HP-093,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-416,E5,Plate010,,,
HP-094,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-527,F5,Plate010,,,
HP-095,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-603,G5,Plate010,,,
HP-096,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-605,H5,Plate010,,,
HP-097,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-460,A6,Plate010,,,
HP-098,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-454,B6,Plate010,,,
HP-099,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-439,C6,Plate010,,,
HP-100,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-428,D6,Plate010,,,
HP-101,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-415,E6,Plate010,,,
HP-102,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-616,F6,Plate010,,,
HP-103,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-607,G6,Plate010,,,
HP-104,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-526,H6,Plate010,,,
HP-105,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-477,A7,Plate010,,,
HP-106,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-406,B7,Plate010,,,
HP-107,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-438,C7,Plate010,,,
HP-108,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-427,D7,Plate010,,,
HP-109,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-414,E7,Plate010,,,
HP-110,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-573,F7,Plate010,,,
HP-111,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-615,G7,Plate010,,,
HP-112,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-575,H7,Plate010,,,
HP-113,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-515,A8,Plate010,,,
HP-114,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-463,B8,Plate010,,,
HP-115,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-437,C8,Plate010,,,
HP-116,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-426,D8,Plate010,,,
HP-117,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-417,E8,Plate010,,,
HP-118,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-606,F8,Plate010,,,
HP-119,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-556,G8,Plate010,,,
HP-120,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-528,H8,Plate010,,,
HP-121,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-479,A9,Plate010,,,
HP-122,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-448,B9,Plate010,,,
HP-123,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-436,C9,Plate010,,,
HP-124,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-425,D9,Plate010,,,
HP-125,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-412,E9,Plate010,,,
HP-126,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-617,F9,Plate010,,,
HP-127,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-550,G9,Plate010,,,
HP-128,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-608,H9,Plate010,,,
HP-129,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-458,A10,Plate010,,,
HP-130,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-447,B10,Plate010,,,
HP-131,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-435,C10,Plate010,,,
HP-132,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-424,D10,Plate010,,,
HP-133,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-411,E10,Plate010,,,
HP-134,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-549,F10,Plate010,,,
HP-135,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-545,G10,Plate010,,,
HP-136,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-595,H10,Plate010,,,
HP-137,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-449,A11,Plate010,,,
HP-138,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-446,B11,Plate010,,,
HP-139,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-434,C11,Plate010,,,
HP-140,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-423,D11,Plate010,,,
HP-141,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-410,E11,Plate010,,,
HP-142,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-559,F11,Plate010,,,
HP-143,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-592,G11,Plate010,,,
HP-144,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-537,H11,Plate010,,,
HP-145,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-478,A12,Plate010,,,
HP-146,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-445,B12,Plate010,,,
HP-147,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-432,C12,Plate010,,,
HP-148,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-422,D12,Plate010,,,
HP-149,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-557,E12,Plate010,,,
HP-150,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-604,F12,Plate010,,,
HP-151,HP_240619A,PCR,923,,,2.0,,8.0,2,,POC-614,G12,Plate010,,,
,,,,,,,,,,,,,,,,
